date,mode,origin,destination,operator,available_seats,tickets_sold,avg_fare_toman,revenue_toman,searches,bookings,cancellations
1403-01-15,Bus,Tehran,Mashhad,Seir-o-Safar,1987,1474,2218400,3269921600,3980,1562,86
1403-01-15,Bus,Tehran,Mashhad,Iran Peyma,1888,1420,2260880,3210449600,4049,1505,83
1403-01-15,Bus,Tehran,Mashhad,Royal Safar,1681,1429,2303360,3291501440,4092,1515,83
1403-01-15,Bus,Tehran,Mashhad,Ham-o-Safar,1557,1205,2345840,2826737200,3284,1277,70
1403-01-15,Train,Tehran,Mashhad,RAJA,2576,902,3102000,2798004000,2435,956,53
1403-01-15,Train,Tehran,Mashhad,Fadak,2447,856,3161400,2706158400,2441,907,50
1403-01-15,Train,Tehran,Mashhad,Noor,2179,763,3220800,2457470400,2185,809,44
1403-01-15,Train,Tehran,Mashhad,Bon Rail,2019,707,3280200,2319101400,1927,749,41
1403-01-15,Train,Tehran,Mashhad,Joopar,2113,740,3339600,2471304000,1897,784,43
1403-01-15,Train,Tehran,Mashhad,Rail Seir Kosar,2375,831,3399000,2824569000,2100,881,48
1403-01-15,Bus,Tehran,Shiraz,Seir-o-Safar,1987,1135,1861200,2112462000,3065,1203,66
1403-01-15,Bus,Tehran,Shiraz,Iran Peyma,1888,1397,1896840,2649885480,3983,1481,81
1403-01-15,Bus,Tehran,Shiraz,Royal Safar,1681,1043,1932480,2015576640,2987,1106,61
1403-01-15,Bus,Tehran,Shiraz,Ham-o-Safar,1557,1233,1968120,2426691960,3360,1307,72
1403-01-15,Train,Tehran,Shiraz,RAJA,2576,902,2632000,2374064000,2435,956,53
1403-01-15,Train,Tehran,Shiraz,Fadak,2447,856,2682400,2296134400,2441,907,50
1403-01-15,Train,Tehran,Shiraz,Noor,2179,763,2732800,2085126400,2185,809,44
1403-01-15,Train,Tehran,Shiraz,Bon Rail,2019,707,2783200,1967722400,1927,749,41
1403-01-15,Train,Tehran,Shiraz,Joopar,2113,740,2833600,2096864000,1897,784,43
1403-01-15,Bus,Tehran,Isfahan,Seir-o-Safar,1987,1289,1414700,1823548300,3480,1366,75
1403-01-15,Bus,Tehran,Isfahan,Iran Peyma,1888,1060,1441790,1528297400,3023,1124,62
1403-01-15,Bus,Tehran,Isfahan,Royal Safar,1681,1210,1468880,1777344800,3465,1283,71
1403-01-15,Bus,Tehran,Isfahan,Ham-o-Safar,1557,937,1495970,1401723890,2554,993,55
1403-01-15,Train,Tehran,Isfahan,RAJA,2576,902,2044500,1844139000,2435,956,53
1403-01-15,Train,Tehran,Isfahan,Fadak,2447,856,2083650,1783604400,2441,907,50
1403-01-15,Train,Tehran,Isfahan,Noor,2179,763,2122800,1619696400,2185,809,44
1403-01-15,Train,Tehran,Isfahan,Bon Rail,2019,707,2161950,1528498650,1927,749,41
1403-01-15,Train,Tehran,Isfahan,Joopar,2113,740,2201100,1628814000,1897,784,43
1403-01-15,Bus,Tehran,Tabriz,Seir-o-Safar,1987,1069,1771900,1894161100,2886,1133,62
1403-01-15,Bus,Tehran,Tabriz,Iran Peyma,1888,1199,1805830,2165190170,3419,1271,70
1403-01-15,Bus,Tehran,Tabriz,Royal Safar,1681,940,1839760,1729374400,2692,996,55
1403-01-15,Bus,Tehran,Tabriz,Ham-o-Safar,1557,1102,1873690,2064806380,3003,1168,64
1403-01-15,Train,Tehran,Tabriz,RAJA,2576,902,2514500,2268079000,2435,956,53
1403-01-15,Train,Tehran,Tabriz,Fadak,2447,856,2562650,2193628400,2441,907,50
1403-01-15,Train,Tehran,Tabriz,Noor,2179,763,2610800,1992040400,2185,809,44
1403-01-15,Train,Tehran,Tabriz,Bon Rail,2019,707,2658950,1879877650,1927,749,41
1403-01-15,Train,Tehran,Tabriz,Joopar,2113,740,2707100,2003254000,1897,784,43
1403-01-15,Bus,Tehran,Rasht,Seir-o-Safar,1987,1073,1200380,1288007740,2897,1137,63
1403-01-15,Bus,Tehran,Rasht,Iran Peyma,1888,1018,1223366,1245386588,2903,1079,59
1403-01-15,Bus,Tehran,Rasht,Royal Safar,1681,1038,1246352,1293713376,2972,1100,61
1403-01-15,Bus,Tehran,Rasht,Ham-o-Safar,1557,866,1269338,1099246708,2360,918,50
1403-01-15,Train,Tehran,Rasht,RAJA,2576,902,1762500,1589775000,2435,956,53
1403-01-15,Train,Tehran,Rasht,Fadak,2447,856,1796250,1537590000,2441,907,50
1403-01-15,Train,Tehran,Rasht,Noor,2179,763,1830000,1396290000,2185,809,44
1403-01-15,Train,Tehran,Rasht,Bon Rail,2019,707,1863750,1317671250,1927,749,41
1403-01-15,Train,Tehran,Rasht,Joopar,2113,740,1897500,1404150000,1897,784,43
1403-01-15,Bus,Tehran,Ahvaz,Seir-o-Safar,1987,1019,2075520,2114954880,2751,1080,59
1403-01-15,Bus,Tehran,Ahvaz,Iran Peyma,1888,966,2115264,2043345024,2755,1024,56
1403-01-15,Bus,Tehran,Ahvaz,Royal Safar,1681,886,2155008,1909337088,2537,939,52
1403-01-15,Bus,Tehran,Ahvaz,Ham-o-Safar,1557,911,2194752,1999419072,2483,966,53
1403-01-15,Train,Tehran,Ahvaz,RAJA,2576,902,2914000,2628428000,2435,956,53
1403-01-15,Train,Tehran,Ahvaz,Fadak,2447,856,2969800,2542148800,2441,907,50
1403-01-15,Train,Tehran,Ahvaz,Noor,2179,763,3025600,2308532800,2185,809,44
1403-01-15,Train,Tehran,Ahvaz,Bon Rail,2019,707,3081400,2178549800,1927,749,41
1403-01-15,Train,Tehran,Ahvaz,Joopar,2113,740,3137200,2321528000,1897,784,43
1403-01-15,Bus,Tehran,Kerman,Seir-o-Safar,1987,758,2397000,1816926000,2047,803,44
1403-01-15,Bus,Tehran,Kerman,Iran Peyma,1888,854,2442900,2086236600,2435,905,50
1403-01-15,Bus,Tehran,Kerman,Royal Safar,1681,734,2488800,1826779200,2102,778,43
